
Wavelength	SpectralRadiance
1.00e-07	2.92e+03
1.25e-07	1.15e+06
1.49e-07	5.05e+07
1.74e-07	7.06e+08
1.98e-07	4.71e+09
2.23e-07	2.17e+10
2.48e-07	5.75e+10
2.72e-07	1.72e+11
2.97e-07	2.73e+11
3.22e-07	5.39e+11
3.46e-07	7.21e+11
3.71e-07	1.17e+12
3.95e-07	1.47e+12
4.20e-07	1.81e+12
4.45e-07	1.86e+12
4.69e-07	2.00e+12
4.94e-07	2.63e+12
5.19e-07	3.69e+12
5.43e-07	3.34e+12
5.68e-07	3.54e+12
5.92e-07	3.21e+12
6.17e-07	3.72e+12
6.42e-07	4.27e+12
6.66e-07	4.61e+12
6.91e-07	4.15e+12
7.16e-07	3.92e+12
7.40e-07	4.04e+12
7.65e-07	3.78e+12
7.89e-07	4.08e+12
8.14e-07	3.83e+12
8.39e-07	4.02e+12
8.63e-07	3.67e+12
8.88e-07	4.13e+12
9.13e-07	4.02e+12
9.37e-07	3.57e+12
9.62e-07	3.16e+12
9.86e-07	3.91e+12
1.01e-06	2.81e+12
1.04e-06	2.89e+12
1.06e-06	2.99e+12
1.08e-06	3.15e+12
1.11e-06	2.56e+12
1.13e-06	2.57e+12
1.16e-06	2.51e+12
1.18e-06	2.45e+12
1.21e-06	2.61e+12
1.23e-06	2.45e+12
1.26e-06	2.66e+12
1.28e-06	2.43e+12
1.31e-06	2.20e+12
1.33e-06	2.05e+12
1.36e-06	1.80e+12
1.38e-06	1.84e+12
1.41e-06	1.89e+12
1.43e-06	1.67e+12
1.45e-06	1.87e+12
1.48e-06	2.03e+12
1.50e-06	1.49e+12
1.53e-06	1.32e+12
1.55e-06	1.19e+12
1.58e-06	1.43e+12
1.60e-06	1.34e+12
1.63e-06	1.29e+12
1.65e-06	1.20e+12
1.68e-06	1.05e+12
1.70e-06	1.07e+12
1.73e-06	1.13e+12
1.75e-06	9.32e+11
1.77e-06	1.14e+12
1.80e-06	1.05e+12
1.82e-06	8.45e+11
1.85e-06	8.93e+11
1.87e-06	9.98e+11
1.90e-06	8.78e+11
1.92e-06	8.63e+11
1.95e-06	8.61e+11
1.97e-06	6.23e+11
2.00e-06	8.13e+11
2.02e-06	5.85e+11
2.05e-06	6.57e+11
2.07e-06	6.42e+11
2.09e-06	6.45e+11
2.12e-06	5.50e+11
2.14e-06	5.87e+11
2.17e-06	6.49e+11
2.19e-06	5.56e+11
2.22e-06	4.80e+11
2.24e-06	5.93e+11
2.27e-06	5.61e+11
2.29e-06	5.39e+11
2.32e-06	4.44e+11
2.34e-06	5.27e+11
2.37e-06	4.74e+11
2.39e-06	3.72e+11
2.41e-06	4.76e+11
2.44e-06	3.84e+11
2.46e-06	3.58e+11
2.49e-06	3.27e+11
2.51e-06	3.94e+11
2.54e-06	3.43e+11
2.56e-06	3.05e+11
2.59e-06	3.89e+11
2.61e-06	3.40e+11
2.64e-06	3.47e+11
2.66e-06	3.41e+11
2.69e-06	3.36e+11
2.71e-06	2.85e+11
2.73e-06	2.98e+11
2.76e-06	2.71e+11
2.78e-06	2.98e+11
2.81e-06	2.98e+11
2.83e-06	2.05e+11
2.86e-06	2.51e+11
2.88e-06	2.29e+11
2.91e-06	2.27e+11
2.93e-06	2.45e+11
2.96e-06	1.82e+11
2.98e-06	1.95e+11
3.01e-06	1.92e+11
3.03e-06	1.92e+11
3.05e-06	2.04e+11
3.08e-06	1.91e+11
3.10e-06	1.88e+11
3.13e-06	1.61e+11
3.15e-06	2.08e+11
3.18e-06	1.84e+11
3.20e-06	1.75e+11
3.23e-06	1.81e+11
3.25e-06	1.52e+11
3.28e-06	1.38e+11
3.30e-06	1.70e+11
3.33e-06	1.85e+11
3.35e-06	1.50e+11
3.37e-06	1.51e+11
3.40e-06	1.31e+11
3.42e-06	1.41e+11
3.45e-06	1.37e+11
3.47e-06	1.40e+11
3.50e-06	1.30e+11
3.52e-06	1.23e+11
3.55e-06	1.17e+11
3.57e-06	1.06e+11
3.60e-06	1.25e+11
3.62e-06	1.06e+11
3.65e-06	1.06e+11
3.67e-06	1.17e+11
3.69e-06	1.08e+11
3.72e-06	1.12e+11
3.74e-06	1.03e+11
3.77e-06	1.03e+11
3.79e-06	1.08e+11
3.82e-06	8.62e+10
3.84e-06	1.01e+11
3.87e-06	8.54e+10
3.89e-06	1.07e+11
3.92e-06	8.93e+10
3.94e-06	8.83e+10
3.97e-06	9.23e+10
3.99e-06	6.87e+10
4.02e-06	6.94e+10
4.04e-06	7.58e+10
