
Wavelength	SpectralRadiance
1.00e-07	5.22e+10
1.25e-07	7.82e+11
1.49e-07	3.83e+12
1.74e-07	1.04e+13
1.98e-07	2.47e+13
2.23e-07	3.73e+13
2.48e-07	6.42e+13
2.72e-07	7.15e+13
2.97e-07	7.84e+13
3.22e-07	9.37e+13
3.46e-07	9.46e+13
3.71e-07	8.45e+13
3.95e-07	9.57e+13
4.20e-07	1.09e+14
4.45e-07	9.45e+13
4.69e-07	9.09e+13
4.94e-07	8.94e+13
5.19e-07	7.85e+13
5.43e-07	7.15e+13
5.68e-07	7.30e+13
5.92e-07	7.45e+13
6.17e-07	7.77e+13
6.42e-07	5.64e+13
6.66e-07	5.72e+13
6.91e-07	4.96e+13
7.16e-07	4.65e+13
7.40e-07	5.04e+13
7.65e-07	3.70e+13
7.89e-07	3.50e+13
8.14e-07	3.42e+13
8.39e-07	3.47e+13
8.63e-07	3.25e+13
8.88e-07	2.46e+13
9.13e-07	2.19e+13
9.37e-07	2.32e+13
9.62e-07	2.50e+13
9.86e-07	2.15e+13
1.01e-06	1.92e+13
1.04e-06	1.78e+13
1.06e-06	1.48e+13
1.08e-06	1.61e+13
1.11e-06	1.55e+13
1.13e-06	1.42e+13
1.16e-06	1.43e+13
1.18e-06	1.25e+13
1.21e-06	1.19e+13
1.23e-06	1.30e+13
1.26e-06	1.10e+13
1.28e-06	1.04e+13
1.31e-06	1.06e+13
1.33e-06	8.58e+12
1.36e-06	7.96e+12
1.38e-06	7.39e+12
1.41e-06	6.05e+12
1.43e-06	6.52e+12
1.45e-06	6.19e+12
1.48e-06	6.20e+12
1.50e-06	5.66e+12
1.53e-06	5.61e+12
1.55e-06	5.38e+12
1.58e-06	4.52e+12
1.60e-06	4.77e+12
1.63e-06	4.42e+12
1.65e-06	3.80e+12
1.68e-06	3.82e+12
1.70e-06	3.61e+12
1.73e-06	4.91e+12
1.75e-06	3.66e+12
1.77e-06	3.40e+12
1.80e-06	3.85e+12
1.82e-06	3.09e+12
1.85e-06	3.50e+12
1.87e-06	3.18e+12
1.90e-06	2.51e+12
1.92e-06	3.25e+12
1.95e-06	2.57e+12
1.97e-06	2.61e+12
2.00e-06	1.91e+12
2.02e-06	2.28e+12
2.05e-06	2.18e+12
2.07e-06	1.96e+12
2.09e-06	1.86e+12
2.12e-06	1.85e+12
2.14e-06	2.22e+12
2.17e-06	2.14e+12
2.19e-06	1.65e+12
2.22e-06	1.57e+12
2.24e-06	1.71e+12
2.27e-06	1.52e+12
2.29e-06	1.52e+12
2.32e-06	1.38e+12
2.34e-06	1.31e+12
2.37e-06	1.26e+12
2.39e-06	1.14e+12
2.41e-06	1.24e+12
2.44e-06	1.04e+12
2.46e-06	1.22e+12
2.49e-06	1.03e+12
2.51e-06	1.02e+12
2.54e-06	1.01e+12
2.56e-06	1.22e+12
2.59e-06	1.04e+12
2.61e-06	8.66e+11
2.64e-06	8.69e+11
2.66e-06	9.55e+11
2.69e-06	8.20e+11
2.71e-06	9.08e+11
2.73e-06	8.91e+11
2.76e-06	6.72e+11
2.78e-06	7.26e+11
2.81e-06	6.66e+11
2.83e-06	5.58e+11
2.86e-06	6.78e+11
2.88e-06	6.39e+11
2.91e-06	5.66e+11
2.93e-06	5.64e+11
2.96e-06	5.48e+11
2.98e-06	5.08e+11
3.01e-06	5.90e+11
3.03e-06	5.15e+11
3.05e-06	4.94e+11
3.08e-06	4.91e+11
3.10e-06	4.83e+11
3.13e-06	4.57e+11
3.15e-06	4.98e+11
3.18e-06	4.34e+11
3.20e-06	4.35e+11
3.23e-06	3.89e+11
3.25e-06	3.50e+11
3.28e-06	4.27e+11
3.30e-06	4.19e+11
3.33e-06	3.88e+11
3.35e-06	3.89e+11
3.37e-06	3.88e+11
3.40e-06	3.27e+11
3.42e-06	3.09e+11
3.45e-06	3.19e+11
3.47e-06	3.57e+11
3.50e-06	2.56e+11
3.52e-06	2.99e+11
3.55e-06	2.97e+11
3.57e-06	3.15e+11
3.60e-06	2.46e+11
3.62e-06	2.48e+11
3.65e-06	2.40e+11
3.67e-06	2.59e+11
3.69e-06	2.37e+11
3.72e-06	2.57e+11
3.74e-06	2.70e+11
3.77e-06	2.80e+11
3.79e-06	2.26e+11
3.82e-06	2.39e+11
3.84e-06	2.09e+11
3.87e-06	2.11e+11
3.89e-06	2.26e+11
3.92e-06	1.96e+11
3.94e-06	2.01e+11
3.97e-06	2.09e+11
3.99e-06	1.82e+11
4.02e-06	1.94e+11
4.04e-06	1.68e+11
4.06e-06	1.79e+11
4.09e-06	1.82e+11
4.11e-06	1.70e+11
4.14e-06	1.60e+11
4.16e-06	1.95e+11
4.19e-06	1.43e+11
4.21e-06	1.58e+11
4.24e-06	1.36e+11
4.26e-06	1.42e+11
4.29e-06	1.81e+11
4.31e-06	1.37e+11
4.34e-06	1.29e+11
4.36e-06	1.37e+11
4.38e-06	1.35e+11
4.41e-06	1.46e+11
4.43e-06	1.17e+11
4.46e-06	1.25e+11
4.48e-06	1.12e+11
4.51e-06	1.48e+11
4.53e-06	9.58e+10
4.56e-06	1.16e+11
4.58e-06	9.88e+10
4.61e-06	9.12e+10
4.63e-06	1.06e+11
4.66e-06	1.10e+11
4.68e-06	1.05e+11
4.70e-06	1.04e+11
4.73e-06	9.44e+10
4.75e-06	1.12e+11
4.78e-06	1.13e+11
4.80e-06	8.88e+10
4.83e-06	9.14e+10
4.85e-06	8.17e+10
4.88e-06	7.86e+10
4.90e-06	8.88e+10
4.93e-06	8.36e+10
4.95e-06	7.29e+10
4.98e-06	8.93e+10
5.00e-06	7.08e+10
