
Wavelength	SpectralRadiance
1.00e-07	1.65e+11
1.25e-07	2.05e+12
1.49e-07	9.44e+12
1.74e-07	2.35e+13
1.98e-07	4.31e+13
2.23e-07	7.17e+13
2.48e-07	9.83e+13
2.72e-07	1.03e+14
2.97e-07	1.19e+14
3.22e-07	1.30e+14
3.46e-07	1.33e+14
3.71e-07	1.29e+14
3.95e-07	1.34e+14
4.20e-07	1.26e+14
4.45e-07	1.05e+14
4.69e-07	1.21e+14
4.94e-07	1.19e+14
5.19e-07	9.44e+13
5.43e-07	8.55e+13
5.68e-07	9.41e+13
5.92e-07	7.91e+13
6.17e-07	7.58e+13
6.42e-07	7.56e+13
6.66e-07	7.21e+13
6.91e-07	5.89e+13
7.16e-07	5.21e+13
7.40e-07	5.08e+13
7.65e-07	4.66e+13
7.89e-07	4.38e+13
8.14e-07	4.54e+13
8.39e-07	3.36e+13
8.63e-07	3.18e+13
8.88e-07	3.31e+13
9.13e-07	2.99e+13
9.37e-07	2.76e+13
9.62e-07	3.04e+13
9.86e-07	2.74e+13
1.01e-06	2.43e+13
1.04e-06	1.87e+13
1.06e-06	1.81e+13
1.08e-06	1.62e+13
1.11e-06	1.51e+13
1.13e-06	1.55e+13
1.16e-06	1.57e+13
1.18e-06	1.35e+13
1.21e-06	1.36e+13
1.23e-06	1.24e+13
1.26e-06	1.28e+13
1.28e-06	1.23e+13
1.31e-06	1.12e+13
1.33e-06	9.56e+12
1.36e-06	1.06e+13
1.38e-06	7.98e+12
1.41e-06	9.90e+12
1.43e-06	6.39e+12
1.45e-06	7.72e+12
1.48e-06	7.43e+12
1.50e-06	7.05e+12
1.53e-06	7.03e+12
1.55e-06	6.32e+12
1.58e-06	5.78e+12
1.60e-06	6.13e+12
1.63e-06	4.97e+12
1.65e-06	5.65e+12
1.68e-06	4.23e+12
1.70e-06	4.94e+12
1.73e-06	5.03e+12
1.75e-06	4.10e+12
1.77e-06	3.93e+12
1.80e-06	4.23e+12
1.82e-06	4.20e+12
1.85e-06	3.82e+12
1.87e-06	3.33e+12
1.90e-06	3.29e+12
1.92e-06	2.88e+12
1.95e-06	2.62e+12
1.97e-06	2.63e+12
2.00e-06	2.27e+12
2.02e-06	2.42e+12
2.05e-06	2.33e+12
2.07e-06	2.30e+12
2.09e-06	2.22e+12
2.12e-06	2.12e+12
2.14e-06	1.92e+12
2.17e-06	1.99e+12
2.19e-06	1.49e+12
2.22e-06	1.89e+12
2.24e-06	1.66e+12
2.27e-06	1.52e+12
2.29e-06	1.73e+12
2.32e-06	1.50e+12
2.34e-06	1.39e+12
2.37e-06	1.48e+12
2.39e-06	1.51e+12
2.41e-06	1.30e+12
2.44e-06	1.09e+12
2.46e-06	1.19e+12
2.49e-06	1.16e+12
2.51e-06	1.01e+12
2.54e-06	1.13e+12
2.56e-06	1.09e+12
2.59e-06	1.26e+12
2.61e-06	1.06e+12
2.64e-06	1.13e+12
2.66e-06	1.01e+12
2.69e-06	8.15e+11
2.71e-06	9.61e+11
2.73e-06	8.04e+11
2.76e-06	7.33e+11
2.78e-06	9.18e+11
2.81e-06	7.87e+11
2.83e-06	8.50e+11
2.86e-06	6.33e+11
2.88e-06	6.78e+11
2.91e-06	6.38e+11
2.93e-06	6.26e+11
2.96e-06	5.73e+11
2.98e-06	5.41e+11
3.01e-06	5.61e+11
3.03e-06	5.89e+11
3.05e-06	5.77e+11
3.08e-06	5.29e+11
3.10e-06	4.83e+11
3.13e-06	4.94e+11
3.15e-06	5.09e+11
3.18e-06	4.84e+11
3.20e-06	5.05e+11
3.23e-06	4.22e+11
3.25e-06	4.16e+11
3.28e-06	4.38e+11
3.30e-06	4.12e+11
3.33e-06	3.93e+11
3.35e-06	4.22e+11
3.37e-06	3.55e+11
3.40e-06	3.88e+11
3.42e-06	3.58e+11
3.45e-06	3.40e+11
3.47e-06	3.30e+11
3.50e-06	3.53e+11
3.52e-06	3.57e+11
3.55e-06	3.09e+11
3.57e-06	3.70e+11
3.60e-06	3.24e+11
3.62e-06	2.96e+11
3.65e-06	3.10e+11
3.67e-06	2.74e+11
3.69e-06	2.78e+11
3.72e-06	2.76e+11
3.74e-06	2.25e+11
3.77e-06	2.65e+11
3.79e-06	2.35e+11
3.82e-06	2.51e+11
3.84e-06	2.41e+11
3.87e-06	2.67e+11
3.89e-06	2.36e+11
3.92e-06	2.54e+11
3.94e-06	2.34e+11
3.97e-06	1.94e+11
3.99e-06	1.97e+11
4.02e-06	1.89e+11
4.04e-06	1.95e+11
4.06e-06	1.70e+11
4.09e-06	1.69e+11
4.11e-06	1.89e+11
4.14e-06	1.86e+11
4.16e-06	1.88e+11
4.19e-06	1.57e+11
4.21e-06	1.62e+11
4.24e-06	1.99e+11
4.26e-06	1.59e+11
4.29e-06	1.60e+11
4.31e-06	1.38e+11
4.34e-06	1.48e+11
4.36e-06	1.54e+11
4.38e-06	1.30e+11
4.41e-06	1.40e+11
4.43e-06	1.40e+11
4.46e-06	1.29e+11
4.48e-06	1.29e+11
4.51e-06	1.36e+11
4.53e-06	1.36e+11
4.56e-06	1.30e+11
4.58e-06	1.20e+11
4.61e-06	1.17e+11
4.63e-06	1.11e+11
4.66e-06	1.10e+11
4.68e-06	9.21e+10
4.70e-06	1.15e+11
4.73e-06	9.81e+10
4.75e-06	1.07e+11
4.78e-06	1.05e+11
4.80e-06	9.95e+10
4.83e-06	9.77e+10
4.85e-06	9.77e+10
4.88e-06	1.04e+11
4.90e-06	8.82e+10
4.93e-06	8.78e+10
4.95e-06	9.11e+10
4.98e-06	8.74e+10
5.00e-06	1.03e+11
