
Wavelength	SpectralRadiance
1.00e-07	2.91e+09
1.25e-07	7.06e+10
1.49e-07	5.07e+11
1.74e-07	1.74e+12
1.98e-07	6.47e+12
2.23e-07	1.04e+13
2.48e-07	1.62e+13
2.72e-07	2.26e+13
2.97e-07	2.74e+13
3.22e-07	3.80e+13
3.46e-07	4.19e+13
3.71e-07	4.37e+13
3.95e-07	4.50e+13
4.20e-07	5.10e+13
4.45e-07	5.07e+13
4.69e-07	4.55e+13
4.94e-07	4.89e+13
5.19e-07	3.94e+13
5.43e-07	4.54e+13
5.68e-07	4.61e+13
5.92e-07	3.73e+13
6.17e-07	3.71e+13
6.42e-07	3.75e+13
6.66e-07	3.52e+13
6.91e-07	3.23e+13
7.16e-07	2.99e+13
7.40e-07	2.56e+13
7.65e-07	2.85e+13
7.89e-07	2.62e+13
8.14e-07	2.18e+13
8.39e-07	2.17e+13
8.63e-07	1.88e+13
8.88e-07	1.84e+13
9.13e-07	2.17e+13
9.37e-07	1.90e+13
9.62e-07	1.67e+13
9.86e-07	1.57e+13
1.01e-06	1.40e+13
1.04e-06	1.47e+13
1.06e-06	1.27e+13
1.08e-06	1.18e+13
1.11e-06	1.30e+13
1.13e-06	9.51e+12
1.16e-06	9.73e+12
1.18e-06	8.70e+12
1.21e-06	9.97e+12
1.23e-06	7.96e+12
1.26e-06	8.36e+12
1.28e-06	7.02e+12
1.31e-06	7.75e+12
1.33e-06	7.30e+12
1.36e-06	6.40e+12
1.38e-06	4.99e+12
1.41e-06	4.95e+12
1.43e-06	5.02e+12
1.45e-06	4.21e+12
1.48e-06	5.17e+12
1.50e-06	4.40e+12
1.53e-06	4.22e+12
1.55e-06	4.45e+12
1.58e-06	3.47e+12
1.60e-06	4.39e+12
1.63e-06	3.06e+12
1.65e-06	3.17e+12
1.68e-06	3.87e+12
1.70e-06	3.16e+12
1.73e-06	3.14e+12
1.75e-06	2.88e+12
1.77e-06	2.27e+12
1.80e-06	2.84e+12
1.82e-06	2.50e+12
1.85e-06	2.39e+12
1.87e-06	2.52e+12
1.90e-06	2.39e+12
1.92e-06	1.76e+12
1.95e-06	2.24e+12
1.97e-06	1.76e+12
2.00e-06	1.86e+12
2.02e-06	1.98e+12
2.05e-06	1.78e+12
2.07e-06	1.66e+12
2.09e-06	1.64e+12
2.12e-06	1.24e+12
2.14e-06	1.55e+12
2.17e-06	1.47e+12
2.19e-06	1.41e+12
2.22e-06	1.33e+12
2.24e-06	1.24e+12
2.27e-06	1.16e+12
2.29e-06	1.19e+12
2.32e-06	1.16e+12
2.34e-06	1.13e+12
2.37e-06	1.02e+12
2.39e-06	8.90e+11
2.41e-06	9.66e+11
2.44e-06	1.02e+12
2.46e-06	8.52e+11
2.49e-06	8.80e+11
2.51e-06	1.01e+12
2.54e-06	8.46e+11
2.56e-06	7.97e+11
2.59e-06	7.76e+11
2.61e-06	8.70e+11
2.64e-06	7.31e+11
2.66e-06	6.68e+11
2.69e-06	6.67e+11
2.71e-06	6.42e+11
2.73e-06	6.34e+11
2.76e-06	6.69e+11
2.78e-06	6.38e+11
2.81e-06	5.62e+11
2.83e-06	6.88e+11
2.86e-06	5.39e+11
2.88e-06	6.56e+11
2.91e-06	4.91e+11
2.93e-06	4.11e+11
2.96e-06	5.80e+11
2.98e-06	4.51e+11
3.01e-06	4.35e+11
3.03e-06	4.54e+11
3.05e-06	3.90e+11
3.08e-06	4.07e+11
3.10e-06	4.09e+11
3.13e-06	3.91e+11
3.15e-06	3.71e+11
3.18e-06	3.90e+11
3.20e-06	3.89e+11
3.23e-06	3.32e+11
3.25e-06	4.03e+11
3.28e-06	3.74e+11
3.30e-06	3.33e+11
3.33e-06	2.74e+11
3.35e-06	3.03e+11
3.37e-06	3.40e+11
3.40e-06	3.13e+11
3.42e-06	2.14e+11
3.45e-06	2.88e+11
3.47e-06	2.27e+11
3.50e-06	2.61e+11
3.52e-06	2.34e+11
3.55e-06	2.24e+11
3.57e-06	2.65e+11
3.60e-06	2.79e+11
3.62e-06	2.00e+11
