
Wavelength	SpectralRadiance
1.00e-07	2.06e-02
1.25e-07	7.40e+01
1.49e-07	1.54e+04
1.74e-07	8.36e+05
1.98e-07	1.39e+07
2.23e-07	9.73e+07
2.48e-07	4.74e+08
2.72e-07	1.77e+09
2.97e-07	5.86e+09
3.22e-07	1.39e+10
3.46e-07	2.79e+10
3.71e-07	3.69e+10
3.95e-07	6.41e+10
4.20e-07	9.42e+10
4.45e-07	1.27e+11
4.69e-07	1.63e+11
4.94e-07	2.73e+11
5.19e-07	3.37e+11
5.43e-07	4.54e+11
5.68e-07	3.59e+11
5.92e-07	5.52e+11
6.17e-07	5.99e+11
6.42e-07	6.19e+11
6.66e-07	7.78e+11
6.91e-07	6.77e+11
7.16e-07	8.12e+11
7.40e-07	7.48e+11
7.65e-07	7.51e+11
7.89e-07	1.00e+12
8.14e-07	8.18e+11
8.39e-07	9.21e+11
8.63e-07	8.93e+11
8.88e-07	9.69e+11
9.13e-07	1.01e+12
9.37e-07	9.03e+11
9.62e-07	8.71e+11
9.86e-07	8.87e+11
1.01e-06	1.12e+12
1.04e-06	1.02e+12
1.06e-06	9.48e+11
1.08e-06	1.10e+12
1.11e-06	1.02e+12
1.13e-06	7.66e+11
1.16e-06	8.78e+11
1.18e-06	8.12e+11
1.21e-06	9.55e+11
1.23e-06	8.91e+11
1.26e-06	7.28e+11
1.28e-06	9.69e+11
1.31e-06	8.48e+11
1.33e-06	7.26e+11
1.36e-06	8.06e+11
1.38e-06	7.54e+11
1.41e-06	7.66e+11
1.43e-06	7.59e+11
1.45e-06	7.63e+11
1.48e-06	5.85e+11
1.50e-06	6.36e+11
1.53e-06	6.59e+11
1.55e-06	5.85e+11
1.58e-06	6.46e+11
1.60e-06	5.44e+11
1.63e-06	5.54e+11
1.65e-06	6.46e+11
1.68e-06	5.21e+11
1.70e-06	5.57e+11
1.73e-06	4.97e+11
1.75e-06	4.76e+11
1.77e-06	4.41e+11
1.80e-06	4.77e+11
1.82e-06	4.51e+11
1.85e-06	4.44e+11
1.87e-06	4.04e+11
1.90e-06	4.05e+11
1.92e-06	4.94e+11
1.95e-06	4.35e+11
1.97e-06	3.60e+11
2.00e-06	4.38e+11
2.02e-06	3.63e+11
2.05e-06	3.87e+11
2.07e-06	3.33e+11
2.09e-06	3.17e+11
2.12e-06	2.90e+11
2.14e-06	2.63e+11
2.17e-06	3.12e+11
2.19e-06	3.22e+11
2.22e-06	2.68e+11
2.24e-06	2.85e+11
2.27e-06	2.51e+11
2.29e-06	2.44e+11
2.32e-06	2.76e+11
2.34e-06	2.27e+11
2.37e-06	2.35e+11
2.39e-06	1.99e+11
2.41e-06	2.27e+11
2.44e-06	2.07e+11
2.46e-06	2.22e+11
2.49e-06	2.03e+11
2.51e-06	1.95e+11
2.54e-06	1.92e+11
2.56e-06	1.89e+11
2.59e-06	1.61e+11
2.61e-06	2.10e+11
2.64e-06	2.06e+11
2.66e-06	1.85e+11
2.69e-06	1.85e+11
2.71e-06	1.84e+11
2.73e-06	1.74e+11
2.76e-06	1.67e+11
2.78e-06	1.68e+11
2.81e-06	1.65e+11
2.83e-06	1.40e+11
2.86e-06	1.92e+11
2.88e-06	1.35e+11
2.91e-06	1.56e+11
2.93e-06	1.20e+11
2.96e-06	1.18e+11
2.98e-06	1.25e+11
3.01e-06	1.25e+11
3.03e-06	1.23e+11
3.05e-06	1.37e+11
3.08e-06	1.10e+11
3.10e-06	1.01e+11
3.13e-06	1.02e+11
3.15e-06	1.23e+11
3.18e-06	1.10e+11
3.20e-06	8.92e+10
3.23e-06	9.77e+10
3.25e-06	1.06e+11
3.28e-06	1.09e+11
3.30e-06	1.01e+11
3.33e-06	8.89e+10
3.35e-06	7.77e+10
3.37e-06	8.95e+10
3.40e-06	8.74e+10
3.42e-06	8.63e+10
3.45e-06	7.55e+10
3.47e-06	9.28e+10
3.50e-06	7.66e+10
3.52e-06	7.59e+10
3.55e-06	6.86e+10
3.57e-06	8.03e+10
3.60e-06	6.76e+10
3.62e-06	6.45e+10
3.65e-06	6.19e+10
3.67e-06	6.39e+10
3.69e-06	5.51e+10
3.72e-06	5.60e+10
3.74e-06	5.40e+10
3.77e-06	5.30e+10
3.79e-06	6.38e+10
3.82e-06	5.51e+10
3.84e-06	5.47e+10
3.87e-06	4.41e+10
3.89e-06	5.99e+10
3.92e-06	4.82e+10
3.94e-06	5.87e+10
3.97e-06	4.89e+10
3.99e-06	5.15e+10
4.02e-06	5.36e+10
4.04e-06	5.65e+10
4.06e-06	4.10e+10
4.09e-06	4.56e+10
4.11e-06	4.92e+10
4.14e-06	4.80e+10
4.16e-06	4.44e+10
4.19e-06	4.50e+10
4.21e-06	3.54e+10
4.24e-06	3.95e+10
4.26e-06	4.26e+10
4.29e-06	3.96e+10
4.31e-06	3.41e+10
4.34e-06	3.94e+10
4.36e-06	3.64e+10
4.38e-06	3.85e+10
4.41e-06	3.32e+10
4.43e-06	3.59e+10
4.46e-06	3.61e+10
4.48e-06	2.97e+10
4.51e-06	3.13e+10
4.53e-06	3.15e+10
4.56e-06	3.47e+10
4.58e-06	3.71e+10
4.61e-06	2.81e+10
4.63e-06	3.09e+10
4.66e-06	3.08e+10
4.68e-06	3.02e+10
4.70e-06	2.73e+10
4.73e-06	2.76e+10
4.75e-06	2.89e+10
4.78e-06	2.43e+10
4.80e-06	2.83e+10
4.83e-06	2.87e+10
4.85e-06	2.54e+10
4.88e-06	2.42e+10
4.90e-06	2.28e+10
4.93e-06	2.72e+10
4.95e-06	2.53e+10
4.98e-06	2.71e+10
5.00e-06	2.79e+10
