
Wavelength	SpectralRadiance
1.00e-07	1.77e+01
1.25e-07	2.08e+04
1.49e-07	1.77e+06
1.74e-07	3.47e+07
1.98e-07	3.38e+08
2.23e-07	2.06e+09
2.48e-07	7.49e+09
2.72e-07	1.95e+10
2.97e-07	5.30e+10
3.22e-07	8.56e+10
3.46e-07	1.51e+11
3.71e-07	2.57e+11
3.95e-07	3.58e+11
4.20e-07	4.30e+11
4.45e-07	6.28e+11
4.69e-07	8.50e+11
4.94e-07	9.30e+11
5.19e-07	1.24e+12
5.43e-07	1.24e+12
5.68e-07	1.40e+12
5.92e-07	1.59e+12
6.17e-07	1.73e+12
6.42e-07	1.71e+12
6.66e-07	1.88e+12
6.91e-07	2.09e+12
7.16e-07	1.95e+12
7.40e-07	2.11e+12
7.65e-07	2.05e+12
7.89e-07	1.93e+12
8.14e-07	2.17e+12
8.39e-07	2.23e+12
8.63e-07	2.05e+12
8.88e-07	2.49e+12
9.13e-07	2.11e+12
9.37e-07	2.13e+12
9.62e-07	1.68e+12
9.86e-07	2.31e+12
1.01e-06	1.88e+12
1.04e-06	2.09e+12
1.06e-06	1.65e+12
1.08e-06	1.73e+12
1.11e-06	1.69e+12
1.13e-06	1.94e+12
1.16e-06	1.78e+12
1.18e-06	1.47e+12
1.21e-06	1.53e+12
1.23e-06	1.64e+12
1.26e-06	1.50e+12
1.28e-06	1.25e+12
1.31e-06	1.58e+12
1.33e-06	1.52e+12
1.36e-06	1.04e+12
1.38e-06	1.28e+12
1.41e-06	1.42e+12
1.43e-06	1.06e+12
1.45e-06	1.07e+12
1.48e-06	1.04e+12
1.50e-06	1.12e+12
1.53e-06	9.16e+11
1.55e-06	1.08e+12
1.58e-06	9.44e+11
1.60e-06	9.67e+11
1.63e-06	8.53e+11
1.65e-06	8.55e+11
1.68e-06	8.26e+11
1.70e-06	8.51e+11
1.73e-06	8.84e+11
1.75e-06	7.24e+11
1.77e-06	7.50e+11
1.80e-06	7.71e+11
1.82e-06	7.24e+11
1.85e-06	6.66e+11
1.87e-06	7.58e+11
1.90e-06	6.51e+11
1.92e-06	6.72e+11
1.95e-06	5.92e+11
1.97e-06	5.71e+11
2.00e-06	5.55e+11
2.02e-06	5.45e+11
2.05e-06	4.96e+11
2.07e-06	6.11e+11
2.09e-06	4.76e+11
2.12e-06	4.55e+11
2.14e-06	4.96e+11
2.17e-06	3.61e+11
2.19e-06	4.16e+11
2.22e-06	4.39e+11
2.24e-06	4.15e+11
2.27e-06	3.26e+11
2.29e-06	3.99e+11
2.32e-06	3.51e+11
2.34e-06	3.06e+11
2.37e-06	3.38e+11
2.39e-06	3.67e+11
2.41e-06	3.68e+11
2.44e-06	2.82e+11
2.46e-06	3.11e+11
2.49e-06	2.85e+11
2.51e-06	2.31e+11
2.54e-06	2.82e+11
2.56e-06	2.53e+11
2.59e-06	3.05e+11
2.61e-06	1.98e+11
2.64e-06	2.37e+11
2.66e-06	2.39e+11
2.69e-06	2.26e+11
2.71e-06	2.24e+11
2.73e-06	2.27e+11
2.76e-06	2.39e+11
2.78e-06	2.07e+11
2.81e-06	2.17e+11
2.83e-06	1.99e+11
2.86e-06	1.74e+11
2.88e-06	1.99e+11
2.91e-06	1.74e+11
2.93e-06	1.92e+11
2.96e-06	1.79e+11
2.98e-06	1.81e+11
3.01e-06	1.91e+11
3.03e-06	1.71e+11
3.05e-06	1.37e+11
3.08e-06	1.46e+11
3.10e-06	1.54e+11
3.13e-06	1.55e+11
3.15e-06	1.32e+11
3.18e-06	1.35e+11
3.20e-06	1.21e+11
3.23e-06	1.24e+11
3.25e-06	1.49e+11
3.28e-06	1.31e+11
3.30e-06	1.23e+11
3.33e-06	1.11e+11
3.35e-06	1.12e+11
3.37e-06	1.13e+11
3.40e-06	1.12e+11
3.42e-06	1.14e+11
3.45e-06	1.25e+11
3.47e-06	9.10e+10
3.50e-06	1.12e+11
3.52e-06	1.11e+11
3.55e-06	9.62e+10
3.57e-06	9.00e+10
3.60e-06	9.31e+10
3.62e-06	8.60e+10
3.65e-06	9.31e+10
3.67e-06	9.04e+10
3.69e-06	8.24e+10
3.72e-06	8.14e+10
3.74e-06	7.39e+10
3.77e-06	8.01e+10
3.79e-06	7.82e+10
3.82e-06	7.00e+10
3.84e-06	7.92e+10
3.87e-06	6.82e+10
3.89e-06	6.83e+10
3.92e-06	7.43e+10
3.94e-06	6.94e+10
3.97e-06	6.33e+10
3.99e-06	6.66e+10
4.02e-06	6.64e+10
4.04e-06	5.30e+10
4.06e-06	5.13e+10
4.09e-06	6.05e+10
4.11e-06	6.39e+10
4.14e-06	5.68e+10
4.16e-06	5.67e+10
4.19e-06	5.03e+10
4.21e-06	5.85e+10
4.24e-06	5.07e+10
4.26e-06	5.89e+10
4.29e-06	4.57e+10
4.31e-06	4.85e+10
4.34e-06	4.24e+10
4.36e-06	3.98e+10
4.38e-06	4.84e+10
4.41e-06	5.64e+10
4.43e-06	4.75e+10
4.46e-06	3.37e+10
4.48e-06	3.98e+10
4.51e-06	4.89e+10
4.53e-06	4.81e+10
4.56e-06	4.54e+10
4.58e-06	4.24e+10
4.61e-06	4.18e+10
4.63e-06	3.42e+10
4.66e-06	4.53e+10
4.68e-06	3.49e+10
4.70e-06	3.82e+10
4.73e-06	3.73e+10
4.75e-06	3.49e+10
4.78e-06	4.16e+10
4.80e-06	4.04e+10
4.83e-06	3.67e+10
4.85e-06	3.26e+10
4.88e-06	3.44e+10
4.90e-06	2.89e+10
4.93e-06	3.13e+10
4.95e-06	2.65e+10
4.98e-06	2.76e+10
5.00e-06	3.37e+10
