
Wavelength	SpectralRadiance
1.00e-07	7.03e-13
1.25e-07	3.62e-07
1.49e-07	1.43e-03
1.74e-07	7.40e-01
1.98e-07	6.97e+01
2.23e-07	1.65e+03
2.48e-07	3.01e+04
2.72e-07	2.41e+05
2.97e-07	1.41e+06
3.22e-07	6.16e+06
3.46e-07	2.44e+07
3.71e-07	5.62e+07
3.95e-07	1.62e+08
4.20e-07	3.15e+08
4.45e-07	6.17e+08
4.69e-07	1.11e+09
4.94e-07	2.07e+09
5.19e-07	2.96e+09
5.43e-07	4.37e+09
5.68e-07	5.33e+09
5.92e-07	9.38e+09
6.17e-07	9.01e+09
6.42e-07	1.23e+10
6.66e-07	2.05e+10
6.91e-07	2.33e+10
7.16e-07	2.58e+10
7.40e-07	2.90e+10
7.65e-07	3.40e+10
7.89e-07	4.47e+10
8.14e-07	4.93e+10
8.39e-07	5.33e+10
8.63e-07	6.02e+10
8.88e-07	6.88e+10
9.13e-07	7.56e+10
9.37e-07	6.50e+10
9.62e-07	6.23e+10
9.86e-07	8.55e+10
1.01e-06	9.04e+10
1.04e-06	1.09e+11
1.06e-06	9.51e+10
1.08e-06	9.76e+10
1.11e-06	9.79e+10
1.13e-06	1.39e+11
1.16e-06	1.15e+11
1.18e-06	1.21e+11
1.21e-06	1.32e+11
1.23e-06	1.15e+11
1.26e-06	1.42e+11
1.28e-06	1.56e+11
1.31e-06	9.77e+10
1.33e-06	1.59e+11
1.36e-06	1.30e+11
1.38e-06	1.33e+11
1.41e-06	1.44e+11
1.43e-06	1.32e+11
1.45e-06	1.33e+11
1.48e-06	1.31e+11
1.50e-06	1.29e+11
1.53e-06	1.34e+11
1.55e-06	1.34e+11
1.58e-06	1.32e+11
1.60e-06	1.30e+11
1.63e-06	1.11e+11
1.65e-06	1.17e+11
1.68e-06	1.38e+11
1.70e-06	1.13e+11
1.73e-06	1.19e+11
1.75e-06	1.40e+11
1.77e-06	1.11e+11
1.80e-06	1.26e+11
1.82e-06	1.18e+11
1.85e-06	1.24e+11
1.87e-06	1.43e+11
1.90e-06	1.18e+11
1.92e-06	1.13e+11
1.95e-06	1.03e+11
1.97e-06	9.09e+10
2.00e-06	1.15e+11
2.02e-06	1.32e+11
2.05e-06	9.72e+10
2.07e-06	1.05e+11
2.09e-06	1.04e+11
2.12e-06	9.32e+10
2.14e-06	1.18e+11
2.17e-06	8.78e+10
2.19e-06	1.04e+11
2.22e-06	8.96e+10
2.24e-06	9.13e+10
2.27e-06	8.70e+10
2.29e-06	7.56e+10
2.32e-06	8.61e+10
2.34e-06	8.56e+10
2.37e-06	7.84e+10
2.39e-06	7.88e+10
2.41e-06	7.41e+10
2.44e-06	6.99e+10
2.46e-06	7.87e+10
2.49e-06	7.08e+10
2.51e-06	6.30e+10
2.54e-06	7.60e+10
2.56e-06	6.92e+10
2.59e-06	7.15e+10
2.61e-06	8.06e+10
2.64e-06	6.71e+10
2.66e-06	5.77e+10
2.69e-06	7.49e+10
2.71e-06	5.21e+10
2.73e-06	6.18e+10
2.76e-06	6.83e+10
2.78e-06	5.90e+10
2.81e-06	6.04e+10
2.83e-06	5.96e+10
2.86e-06	6.52e+10
2.88e-06	5.18e+10
2.91e-06	5.46e+10
2.93e-06	5.78e+10
2.96e-06	5.06e+10
2.98e-06	5.36e+10
3.01e-06	5.28e+10
3.03e-06	4.50e+10
3.05e-06	5.14e+10
3.08e-06	3.85e+10
3.10e-06	4.19e+10
3.13e-06	4.95e+10
3.15e-06	4.77e+10
3.18e-06	4.60e+10
3.20e-06	4.36e+10
3.23e-06	4.20e+10
3.25e-06	4.08e+10
3.28e-06	4.32e+10
3.30e-06	3.95e+10
3.33e-06	3.53e+10
3.35e-06	3.87e+10
3.37e-06	4.10e+10
3.40e-06	3.39e+10
3.42e-06	3.46e+10
3.45e-06	3.39e+10
3.47e-06	3.47e+10
3.50e-06	3.74e+10
3.52e-06	3.54e+10
3.55e-06	3.37e+10
3.57e-06	3.06e+10
3.60e-06	3.05e+10
3.62e-06	2.91e+10
3.65e-06	2.86e+10
3.67e-06	3.00e+10
3.69e-06	3.09e+10
3.72e-06	2.38e+10
3.74e-06	2.74e+10
3.77e-06	2.81e+10
3.79e-06	2.48e+10
3.82e-06	2.24e+10
3.84e-06	2.54e+10
3.87e-06	2.64e+10
3.89e-06	2.50e+10
3.92e-06	2.42e+10
3.94e-06	2.18e+10
3.97e-06	2.08e+10
3.99e-06	2.22e+10
4.02e-06	2.10e+10
4.04e-06	2.09e+10
4.06e-06	1.82e+10
4.09e-06	2.15e+10
4.11e-06	2.15e+10
4.14e-06	2.05e+10
