
Wavelength	SpectralRadiance
1.00e-07	1.09e-06
1.25e-07	2.73e-02
1.49e-07	2.65e+01
1.74e-07	2.82e+03
1.98e-07	8.44e+04
2.23e-07	1.14e+06
2.48e-07	9.02e+06
2.72e-07	5.34e+07
2.97e-07	1.93e+08
3.22e-07	5.74e+08
3.46e-07	1.48e+09
3.71e-07	2.85e+09
3.95e-07	5.71e+09
4.20e-07	1.22e+10
4.45e-07	1.81e+10
4.69e-07	2.29e+10
4.94e-07	3.72e+10
5.19e-07	5.12e+10
5.43e-07	7.24e+10
5.68e-07	7.74e+10
5.92e-07	9.28e+10
6.17e-07	1.30e+11
6.42e-07	1.16e+11
6.66e-07	1.60e+11
6.91e-07	1.66e+11
7.16e-07	1.95e+11
7.40e-07	1.68e+11
7.65e-07	2.55e+11
7.89e-07	2.87e+11
8.14e-07	2.92e+11
8.39e-07	2.78e+11
8.63e-07	2.76e+11
8.88e-07	3.66e+11
9.13e-07	3.18e+11
9.37e-07	3.13e+11
9.62e-07	3.22e+11
9.86e-07	3.92e+11
1.01e-06	4.16e+11
1.04e-06	3.72e+11
1.06e-06	4.29e+11
1.08e-06	3.72e+11
1.11e-06	4.09e+11
1.13e-06	4.06e+11
1.16e-06	4.74e+11
1.18e-06	3.61e+11
1.21e-06	4.08e+11
1.23e-06	4.27e+11
1.26e-06	3.94e+11
1.28e-06	3.80e+11
1.31e-06	3.71e+11
1.33e-06	3.90e+11
1.36e-06	3.08e+11
1.38e-06	4.17e+11
1.41e-06	4.29e+11
1.43e-06	3.56e+11
1.45e-06	4.01e+11
1.48e-06	3.50e+11
1.50e-06	3.35e+11
1.53e-06	3.84e+11
1.55e-06	3.65e+11
1.58e-06	3.28e+11
1.60e-06	3.09e+11
1.63e-06	3.07e+11
1.65e-06	3.14e+11
1.68e-06	3.07e+11
1.70e-06	2.65e+11
1.73e-06	2.83e+11
1.75e-06	2.52e+11
1.77e-06	2.58e+11
1.80e-06	2.55e+11
1.82e-06	2.52e+11
1.85e-06	2.28e+11
1.87e-06	2.62e+11
1.90e-06	2.25e+11
1.92e-06	2.21e+11
1.95e-06	2.23e+11
1.97e-06	2.34e+11
2.00e-06	2.39e+11
2.02e-06	1.81e+11
2.05e-06	2.17e+11
2.07e-06	2.19e+11
2.09e-06	2.33e+11
2.12e-06	1.93e+11
2.14e-06	1.92e+11
2.17e-06	2.31e+11
2.19e-06	1.80e+11
2.22e-06	1.63e+11
2.24e-06	1.73e+11
2.27e-06	1.59e+11
2.29e-06	1.54e+11
2.32e-06	1.35e+11
2.34e-06	1.67e+11
2.37e-06	1.47e+11
2.39e-06	1.45e+11
2.41e-06	1.39e+11
2.44e-06	1.44e+11
2.46e-06	1.57e+11
2.49e-06	1.47e+11
2.51e-06	1.29e+11
2.54e-06	1.26e+11
2.56e-06	1.31e+11
